               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.036833,            0.011394,           0.0058654,             0.97534,             0.83224,                0.94,             0.67239,            0.019857,           0.0031524,             0.01487,           0.0062607,           0.0062607,            0.034361
                  80,            0.041352,            0.011469,           0.0076166,             0.83715,             0.83333,             0.88042,             0.45814,            0.021531,           0.0031883,            0.010869,           0.0063165,           0.0063165,            0.033517
                  81,            0.045963,            0.011405,            0.010061,             0.67241,             0.74988,               0.705,             0.45967,            0.018015,           0.0026769,            0.029961,           0.0063715,           0.0063715,            0.032672
                  82,            0.041331,            0.012356,           0.0091226,             0.62228,                0.75,             0.73556,             0.33406,            0.023769,           0.0032798,            0.037776,           0.0064258,           0.0064258,            0.031826
                  83,            0.031398,            0.010851,           0.0089138,             0.34911,             0.99955,             0.71957,             0.45743,            0.022085,           0.0033264,            0.053369,           0.0064793,           0.0064793,            0.030979
                  84,            0.042492,            0.011487,           0.0093386,             0.33627,                   1,             0.64503,             0.48747,             0.01915,           0.0032798,            0.052283,            0.006532,            0.006532,            0.030132
                  85,            0.040447,            0.011341,           0.0072554,             0.33686,             0.97453,              0.6079,             0.30388,            0.023125,           0.0040167,            0.043441,           0.0065839,           0.0065839,            0.029284
                  86,            0.039304,            0.013089,           0.0079345,                   1,             0.49782,             0.63964,             0.45145,            0.015442,           0.0043676,            0.041288,            0.006635,            0.006635,            0.028435
                  87,            0.035941,            0.012077,           0.0086265,             0.78095,             0.58333,             0.76457,             0.52353,            0.016396,           0.0041233,            0.032731,           0.0066852,           0.0066852,            0.027585
                  88,            0.035234,            0.010604,            0.012779,               0.996,                0.75,             0.86429,             0.55984,            0.016816,           0.0036422,            0.022709,           0.0067347,           0.0067347,            0.026735
                  89,            0.035209,            0.010799,           0.0057816,             0.76652,                0.75,             0.87851,             0.68911,            0.015586,           0.0032509,            0.026866,           0.0067834,           0.0067834,            0.025883
                  90,            0.031386,            0.010804,           0.0055638,             0.73622,                0.75,             0.82756,             0.59482,            0.018093,           0.0034651,            0.031996,           0.0068312,           0.0068312,            0.025031
                  91,            0.038254,             0.01132,           0.0058457,               0.738,                0.75,             0.71054,             0.50061,              0.0158,           0.0036595,            0.029611,           0.0068783,           0.0068783,            0.024178
                  92,            0.036317,            0.010268,            0.009233,             0.86566,              0.7488,             0.83491,             0.44491,            0.018817,           0.0032088,            0.029135,           0.0069245,           0.0069245,            0.023324
                  93,            0.040106,             0.01115,           0.0063194,              0.6038,              0.5643,             0.73961,              0.2204,            0.025089,           0.0027901,            0.023515,           0.0069698,           0.0069698,             0.02247
                  94,            0.042818,             0.01063,           0.0067588,             0.99947,             0.78942,               0.963,             0.58312,            0.021997,           0.0024577,           0.0098441,           0.0070144,           0.0070144,            0.021614
                  95,            0.033768,           0.0093754,           0.0065892,             0.77653,             0.91667,             0.98357,             0.71311,            0.016593,           0.0027216,           0.0094211,           0.0070581,           0.0070581,            0.020758
                  96,            0.039586,            0.010652,           0.0060435,             0.63857,             0.91655,             0.98357,             0.76133,            0.018663,           0.0025615,            0.017748,            0.007101,            0.007101,            0.019901
                  97,             0.04437,            0.011043,           0.0072641,             0.71767,             0.91658,             0.93375,             0.60172,            0.018896,           0.0025651,            0.024586,            0.007143,            0.007143,            0.019043
                  98,            0.039497,            0.010833,           0.0079228,             0.38427,             0.99844,             0.62696,             0.46384,            0.017849,           0.0028258,            0.034872,           0.0071842,           0.0071842,            0.018184
                  99,            0.038101,            0.010625,           0.0082479,              0.4727,                0.75,             0.69365,             0.51118,            0.022616,           0.0028824,            0.034157,           0.0072245,           0.0072245,            0.017325
                 100,             0.03614,            0.011045,            0.010873,             0.34435,             0.91667,             0.50269,              0.2692,            0.028802,           0.0061937,            0.032187,            0.007264,            0.007264,            0.016464
                 101,            0.044873,            0.011681,            0.014175,             0.15496,            0.083333,            0.065906,           0.0092571,            0.044816,           0.0074603,            0.049962,           0.0073026,           0.0073026,            0.015603
                 102,            0.036236,            0.013303,             0.01151,             0.40484,             0.66667,             0.37506,             0.22149,            0.027412,            0.006734,            0.026099,           0.0073404,           0.0073404,             0.01474
                 103,            0.038552,            0.011344,            0.011137,             0.61761,             0.79233,             0.80239,             0.62187,            0.016846,           0.0020336,            0.038479,           0.0073773,           0.0073773,            0.013877
                 104,            0.039353,            0.012622,           0.0098218,             0.54214,                   1,             0.90543,             0.74465,            0.015793,           0.0027163,            0.040711,           0.0074134,           0.0074134,            0.013013
                 105,            0.039572,            0.012525,            0.010325,             0.64619,             0.99395,               0.796,             0.68354,            0.015759,           0.0031798,            0.027753,           0.0074486,           0.0074486,            0.012149
